Record ID,Manufacturer Part Number,Short Number,Price
"MOT1020 - Motion Access Condor Swing Low Energy Operator – LH -  Pull Arm/In Swing -  Silver - 36 Inch Can - Motion Access Condor Swing Low Energy Operator â€“ LH -  Pull Arm/In Swing -  Silver - 36 Inch Can -  - MAC-LL2C-36 - $2,300.00 ",MAC-LL2C-36,MOT1020,2300.0
"MOT1009 - Motion Access Condor Swing Low Energy Operator – LH -  Pull Arm/In Swing -  Silver - Motion Access Condor Swing Low Energy Operator â€“ LH -  Pull Arm/In Swing -  Silver -  - MAC-LL2C-XX - $2,300.00 ",MAC-LL2C-XX,MOT1009,2300.0
"MOT1022 - Motion Access Condor Swing Low Energy Operator – LH -  Pull Arm/In Swing -  Dark Bronze - 36 Inch Can - Motion Access Condor Swing Low Energy Operator â€“ LH -  Pull Arm/In Swing -  Dark Bronze - 36 Inch Can -  - MAC-LL2D-36 - $2,300.00 ",MAC-LL2D-36,MOT1022,2300.0
"MOT1013 - Motion Access Condor Swing Low Energy Operator – LH -  Pull Arm/In Swing -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ LH -  Pull Arm/In Swing -  Dark Bronze -  - MAC-LL2D-XX - $2,300.00 ",MAC-LL2D-XX,MOT1013,2300.0
"MOT1010 - Motion Access Condor Swing Low Energy Operator – LH -  Center Hung -  Silver - Motion Access Condor Swing Low Energy Operator â€“ LH -  Center Hung -  Silver -  - MAC-LL3C-XX - $2,300.00 ",MAC-LL3C-XX,MOT1010,2300.0
"MOT1014 - Motion Access Condor Swing Low Energy Operator – LH -  Center Hung -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ LH -  Center Hung -  Dark Bronze -  - MAC-LL3D-XX - $2,300.00 ",MAC-LL3D-XX,MOT1014,2300.0
"MOT1011 - Motion Access Condor Swing Low Energy Operator – LH -  Concealed Offset Pivot -  Silver - Motion Access Condor Swing Low Energy Operator â€“ LH -  Concealed Offset Pivot -  Silver -  - MAC-LL4C-XX - $2,300.00 ",MAC-LL4C-XX,MOT1011,2300.0
"MOT1015 - Motion Access Condor Swing Low Energy Operator – LH -  Concealed Offset Pivot -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ LH -  Concealed Offset Pivot -  Dark Bronze -  - MAC-LL4D-XX - $2,300.00 ",MAC-LL4D-XX,MOT1015,2300.0
"MOT1025 - Motion Access - Condor Swing Operator -  Aluminum - Motion Access - Condor Swing Low Energy Operato, Pair, Push Arm/Out Swing -  Aluminum -  - MAC-LP1C-XX - $4,688.87 ",MAC-LP1C-XX,MOT1025,4688.8677355612
"MOT1024 - Motion Access Condor Swing Low Energy Operator – PAIR -  Push Arm/Out Swing -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ PAIR -  Push Arm/Out Swing -  Dark Bronze -  - MAC-LP1D-72 - $4,688.87 ",MAC-LP1D-72,MOT1024,4688.8677355612
"MOT1019 - Motion Access - Condor Swing Low Energy Operator -  Aluminum - Motion Access - Condor Swing Low Energy Operator â€“ RH -  Push Arm/Out Swing - 36 inch Can -  Aluminum -  - MAC-LR1C-36 - $2,300.00 ",MAC-LR1C-36,MOT1019,2300.000000031
"MOT1026 - Motion Access Condor Swing Low Energy Operator – RH -  Push Arm/Out Swing -  Aluminum - 42 inch Can - Motion Access Condor Swing Low Energy Operator â€“ RH -  Push Arm/Out Swing -  Aluminum - 42 inch Can -  - MAC-LR1C-42 - $2,300.00 ",MAC-LR1C-42,MOT1026,2300.0
"MOT1000 - Motion Access Condor Swing Low Energy Operator – Push Arm/Out Swing -  Silver - Motion Access Condor Swing Low Energy Operator - RH -  Push Arm/Out Swing -  Silver -  - MAC-LR1C-XX - $2,300.00 ",MAC-LR1C-XX,MOT1000,2300.0
"MOT1018 - Motion Access - Condor Swing  Operator – Dark Bronze - Motion Access - Condor Swing Low Energy Operator - RH -  Push Arm/Out Swing -  Dark Bronze -  - MAC-LR1D-36 - $2,300.00 ",MAC-LR1D-36,MOT1018,2300.000000031
"MOT1004 - Motion Access - Condor Swing Low Energy Operator -  Dark Bronze - Motion Access - Condor Swing Low Energy Operator – RH - Push Arm/Out Swing -  Dark Bronze -  - MAC-LR1D-XX - $2,300.00 ",MAC-LR1D-XX,MOT1004,2300.0
"MOT1021 - Motion Access - Condor Swing Low Energy Operator  -  Silver - Motion Access - Condor Swing Low Energy Operator – RH, 36 Inch Can, Pull Arm/In Swing -  Silver -  - MAC-LR2C-36 - $2,300.00 ",MAC-LR2C-36,MOT1021,2300.0
"MOT1001 - Motion Access Condor Swing Low Energy Operator – RH -  Pull Arm/In Swing -  Silver - Motion Access Condor Swing Low Energy Operator â€“ RH -  Pull Arm/In Swing -  Silver -  - MAC-LR2C-XX - $2,300.00 ",MAC-LR2C-XX,MOT1001,2300.0
"MOT1023 - Motion Access Condor Swing Low Energy Operator – RH -  Pull Arm/In Swing -  Dark Bronze - 36 Inch Can - Motion Access Condor Swing Low Energy Operator â€“ RH -  Pull Arm/In Swing -  Dark Bronze - 36 Inch Can -  - MAC-LR2D-36 - $2,300.00 ",MAC-LR2D-36,MOT1023,2300.0
"MOT1005 - Motion Access Condor Swing Low Energy Operator – RH -  Pull Arm/In Swing -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ RH -  Pull Arm/In Swing -  Dark Bronze -  - MAC-LR2D-XX - $2,300.00 ",MAC-LR2D-XX,MOT1005,2300.0
"MOT1002 - Motion Access - Condor Swing Operator -  Silver - Motion Access - Condor Swing Low Energy Operator, RH, Center Hung -  Silver -  - MAC-LR3C-36 - $2,300.00 ",MAC-LR3C-36,MOT1002,2300.0
"MOT1006 - Motion Access Condor Swing Low Energy Operator – RH -  Center Hung -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ RH -  Center Hung -  Dark Bronze -  - MAC-LR3D-XX - $2,300.00 ",MAC-LR3D-XX,MOT1006,2300.0
"MOT1003 - Motion Access Condor Swing Low Energy Operator – RH -  Concealed Offset Pivot -  Silver - Motion Access Condor Swing Low Energy Operator â€“ RH -  Concealed Offset Pivot -  Silver -  - MAC-LR4C-XX - $2,300.00 ",MAC-LR4C-XX,MOT1003,2300.0
"MOT1007 - Motion Access Condor Swing Low Energy Operator – RH -  Concealed Offset Pivot -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ RH -  Concealed Offset Pivot -  Dark Bronze -  - MAC-LR4D-XX - $2,300.00 ",MAC-LR4D-XX,MOT1007,2300.0
"MOT1034 - Raven Swing 18in -  Clear Finish -  Low Energy Operator -  Non Handed -  Push & Pull Arm - Raven Swing 18in, Clear Finish, Low Energy Operator, Non Handed, Push & Pull Arm -  - MAR-C-18 - $1,957.95 ",MAR-C-18,MOT1034,1957.949400772
"MOT1027 - Raven Swing 29in -  Clear Finish -  Low Energy Operator -  Non Handed -  Push & Pull Arm - Raven Swing 29in -  Clear Finish -  Low Energy Operator -  Non Handed -  Push & Pull Arm -  - MAR-C-29 - $1,890.00 ",MAR-C-29,MOT1027,1890.0
"MOT1035 - Raven Swing 18in -  Dark Bronze Finish -  Low Energy Operator -  Non Handed -  Push & Pull Arm - Raven Swing 18in -  Dark Bronze Finish -  Low Energy Operator -  Non Handed -  Push & Pull Arm -  - MAR-D-18 - $1,957.95 ",MAR-D-18,MOT1035,1957.949400772
"MOT1036 - Raven Swing 29in -  Dark Bronze Finish -  Low Energy Operator -  Non Handed -  Push & Pull Arm - Raven Swing 29in -  Dark Bronze Finish -  Low Energy Operator -  Non Handed -  Push & Pull Arm -  - MAR-D-29 - $2,103.91 ",MAR-D-29,MOT1036,2103.914780264
MOT1030 - MATRiX SQUARE KIT -  S1: 2 - S1 PUSH PLATES -  2 - SBT BOXES/TRANSMITTERS -  1 - RECEIVER - MATRiX SQUARE KIT -  S1: 2 - S1 PUSH PLATES -  2 - SBT BOXES/TRANSMITTERS -  1 - RECEIVER -  - MAX-KIT-S1 - $338.42 ,MAX-KIT-S1,MOT1030,338.42
"MOT1031 - Motion Access - Condor Swing Low Energy Operator -  Dark Bronze - Motion Access - Condor Swing Low Energy Operator – PAIR -  Push Arm/Out Swing -  Dark Bronze - 72 inch Can -  - MP1C-72 - $4,761.03 ",MP1C-72,MOT1031,4761.03
"MOT1042 - Condor Swing Low Force/Low Energy Operator RH Push DKB 36 - Condor Swing Low Force/Low Energy Operator RH Push DKB 36"" -  - MR1D-36 - $2,300.00 ",MR1D-36,MOT1042,2300.0
CAM1003 - CONCEALED POWER TRANSFER. - CONCEALED POWER TRANSFER. - CM104 - PT516M - $55.39 ,PT516M,CAM1003,55.39
CAM1023 - 1 Relay Wireless Receiver 12/24 VAC/DC - 1 Relay Wireless Receiver 12/24 VAC/DC -  - RX91 - $84.08 ,RX91,CAM1023,84.08
CAM1027 - 2 Relay Wireless Receiver -  12/24VAC/DC - 2 Relay Wireless Receiver -  12/24VAC/DC -  - RX92 - $126.12 ,RX92,CAM1027,126.12
CAM1022 - Wall Switch Transmitter for Camden Door Controls - Wall Switch Transmitter for Camden Door Controls -  - TX-9 - $73.57 ,TX-9,CAM1022,73.57
LAR1001 - weatherproofing option - weatherproofing option -  - W - $24.00 ,W,LAR1001,24.0
LAR1072 - Weatherproof 4 1/2 Round HPTO - Weatherproof 4 1/2 Round HPTO -  - W4R1 - $88.00 ,W4R1,LAR1072,88.0
LAR1066 - Weatherproof 4 1/2 Round HPTO - Weatherproof 4 1/2 Round HPTO -  - W4R1A - $88.00 ,W4R1A,LAR1066,88.0
LAR1068 - Weatherproof 4 1/2 Round HPTO w/Round Box - Weatherproof 4 1/2 Round HPTO w/Round Box -  - W4R1R0 - $120.00 ,W4R1R0,LAR1068,120.0
LAR1064 - Weatherproof 4 1/2 Round HPTO w/Round Box + 433 MHz TX - Weatherproof 4 1/2 Round HPTO w/Round Box + 433 MHz TX -  - W4R1R4 - $182.00 ,W4R1R4,LAR1064,182.0
LAR1074 - Weatherproof 4 1/2 Round HPTO w/Universal Box - Weatherproof 4 1/2 Round HPTO w/Universal Box -  - W4R1U0 - $120.00 ,W4R1U0,LAR1074,120.0
"LAR1070 - Weatherproof 4 1/2 Round HPTO w/Universal Box + 433 MHz TX - Weatherproof 4 1/2 Round HPTO w/Universal Box + 433 MHz TX, Larco -  - W4R1U4 - $182.00 ",W4R1U4,LAR1070,182.0
LAR1076 - Weatherproof 4 1/2 Square HPTO - Weatherproof 4 1/2 Square HPTO -  - W4S1 - $88.00 ,W4S1,LAR1076,88.0
LAR1078 - Weatherproof 4 1/2 Square HPTO w/Universal Box - Weatherproof 4 1/2 Square HPTO w/Universal Box -  - W4S1U0 - $120.00 ,W4S1U0,LAR1078,120.0
"LAR1082 - Weatherproof 4 1/2 Square With Universal Box - Weatherproof 4 1/2 Square HPTO w/Universal Box + 433 MHz TX, Larco -  - W4S1U4 - $191.28 ",W4S1U4,LAR1082,191.28
LAR1044 - Weatherproof 6in Round PTO - Weatherproof 6in Round PTO -  - W6R1 - $88.00 ,W6R1,LAR1044,88.0
LAR1040 - Weatherproof 6in Round HPTO w/Round Box - Weatherproof 6in Round HPTO w/Round Box -  - W6R1R0 - $120.00 ,W6R1R0,LAR1040,120.0
LAR1036 - Weatherproof 6in Round HPTO w/Round Box + 433 MHz TX - Weatherproof 6in Round HPTO w/Round Box + 433 MHz TX -  - W6R1R4 - $182.00 ,W6R1R4,LAR1036,182.0
LAR1038 - Weatherproof 6in Round HPTO - Weatherproof 6in Round HPTO -  - W6R1RA - $88.00 ,W6R1RA,LAR1038,88.0
LAR1046 - Weatherproof 6in Round HPTO w/Universal Box - Weatherproof 6in Round HPTO w/Universal Box -  - W6R1U0 - $120.00 ,W6R1U0,LAR1046,120.0
LAR1042 - Weatherproof 6in Round HPTO w/Universal Box + 433 MHz TX - Weatherproof 6in Round HPTO w/Universal Box + 433 MHz TX -  - W6R1U4 - $182.00 ,W6R1U4,LAR1042,182.0
LAR1050 - Weatherproof 6  Square HPTO - Weatherproof 6  Square HPTO -  - W6S1 - $88.00 ,W6S1,LAR1050,88.0
LAR1052 - Weatherproof 6 Square HPTO w/Universal Box - Weatherproof 6 Square HPTO w/Universal Box -  - W6S1U0 - $120.00 ,W6S1U0,LAR1052,120.0
LAR1048 - Weatherproof 6 Square plain w/Universal Box + 433 MHz TXz - Weatherproof 6 Square plain w/Universal Box + 433 MHz TXz -  - W6S1U4 - $182.00 ,W6S1U4,LAR1048,182.0
LAR1056 - Weatherproof Copper 4 1/2 Square HPTO w/Universal Box - Weatherproof Copper 4 1/2 Square HPTO w/Universal Box -  - WC4 S1U0 - $160.00 ,WC4 S1U0,LAR1056,160.0
LAR1058 - Weatherproof Copper 4 1/2 Round HPTO - Weatherproof Copper 4 1/2 Round HPTO -  - WC4R1A - $128.00 ,WC4R1A,LAR1058,128.0
LAR1060 - Weatherproof Copper 4 1/2 Round HPTO w/Round Box - Weatherproof Copper 4 1/2 Round HPTO w/Round Box -  - WC4R1AR0 - $160.00 ,WC4R1AR0,LAR1060,160.0
LAR1062 - Weatherproof Copper 4 1/2 Round HPTO w/Round Box + 433 MHz TX - Weatherproof Copper 4 1/2 Round HPTO w/Round Box + 433 MHz TX -  - WC4R1R4 - $208.00 ,WC4R1R4,LAR1062,208.0
LAR1054 - Weatherproof Copper 4 1/2 Square HPTO - Weatherproof Copper 4 1/2 Square HPTO -  - WC4S1 - $128.00 ,WC4S1,LAR1054,128.0
LAR1030 - Weatherproof Copper 6in Round HPTO - Weatherproof Copper 6in Round HPTO -  - WC6R1A - $128.00 ,WC6R1A,LAR1030,128.0
LAR1032 - Weatherproof Copper 6in Round HPTO w/Round Box - Weatherproof Copper 6in Round HPTO w/Round Box -  - WC6R1R0 - $160.00 ,WC6R1R0,LAR1032,160.0
LAR1034 - Weatherproof Copper 6in Round HPTO w/Round Box + 433 MHz TX - Weatherproof Copper 6in Round HPTO w/Round Box + 433 MHz TX -  - WC6R1R4 - $208.00 ,WC6R1R4,LAR1034,208.0
LAR1024 - Weatherproof Copper 6in Square HPTO - Weatherproof Copper 6in Square HPTO -  - WC6S1 - $128.00 ,WC6S1,LAR1024,128.0
LAR1026 - Weatherproof Copper 6in Square HPTO w /Universal Box - Weatherproof Copper 6in Square HPTO w /Universal Box -  - WC6S1U0 - $160.00 ,WC6S1U0,LAR1026,160.0
LAR1028 - Weatherproof Copper 6in Square HPTO w /Universal Box + 433 MHz TX - Weatherproof Copper 6in Square HPTO w /Universal Box + 433 MHz TX -  - WC6S1U4 - $222.00 ,WC6S1U4,LAR1028,222.0
LAR1019 - Weatherproof Jamb Switch HPTO w/box - Weatherproof Jamb Switch HPTO w/box -  - WJ01J0 - $100.00 ,WJ01J0,LAR1019,100.0
LAR1017 - Weatherproof Jamb Switch HPTO w/box + 433 MHz TX - Weatherproof Jamb Switch HPTO w/box + 433 MHz TX -  - WJ01J4 - $148.00 ,WJ01J4,LAR1017,148.0
LAR1091 - weatherproof transmitter  - weatherproof transmitter  -  - wp23269500 - $89.45 ,wp23269500,LAR1091,89.45
