Record ID,Manufacturer,Manufacturer Part Number,Price,Cost,MSRP,Internal Description,Frequently Used,Supplier,Description,Pricing Strategy,MSRP Adjustment,QBE Price,Last Pricing Update,Short Number,Old Short Number,Secondary Supplier,Tertiary Supplier,Pricing Source
CAM1034 - LED Illuminated Pushbutton -  Single Gang -  2in Button -  Push To Exit Text -  Satin Stainless Steel - LED Illuminated Pushbutton -  Single Gang -  2in Button -  Push To Exit Text -  Satin Stainless Steel -  - CM-30E - $52.00 ,Camden Controls,CM-30E,52.0,31.2,52.0,LED Illuminated Pushbutton -  Single Gang -  2in Button -  Push To Exit Text -  Satin Stainless Steel,,Banner Solutions (Formerly Akron),LED Illuminated Pushbutton -  Single Gang -  2in Button -  Push To Exit Text -  Satin Stainless Steel,MSRP,,,,CAM1034,,,,
CAM1029 - 2 SQ PUSHBUTTON WITH 30 SEC TIMER - 2 SQ PUSHBUTTON WITH 30 SEC TIMER -  - CM-30EE - $162.91 ,Camden Controls,CM-30EE,162.91,85.653,155.0,2 SQ PUSHBUTTON WITH 30 SEC TIMER,,Seclock,2 SQ PUSHBUTTON WITH 30 SEC TIMER,MSRP Adjust,0.051,,"Sep 19, 2023",CAM1029,,,,Banner Price List
CAM1024 - SureWave CM-330 Series Touchless Switch -  1 to 12 Range -  Built-In Lazerpoint Wireless Transmitter -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Includes 2 'AA' Alkaline Batteries -  Stainless Steel Finish - SureWave CM-330 Series Touchless Switch -  1 to 12 Range -  Built-In Lazerpoint Wireless Transmitter -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Includes 2 'AA' Alkaline Batteries -  Stainless Steel Finish -  - CM-330/42SN - $262.75 ,Camden Controls,CM-330/42SN,262.75,150.0,250.0,SureWave CM-330 Series Touchless Switch -  1 to 12 Range -  Built-In Lazerpoint Wireless Transmitter -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Includes 2 'AA' Alkaline Batteries -  Stainless Steel Finish,,Seclock,SureWave CM-330 Series Touchless Switch -  1 to 12 Range -  Built-In Lazerpoint Wireless Transmitter -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Includes 2 'AA' Alkaline Batteries -  Stainless Steel Finish,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1024,,,,Security Lock Price List
CAM1025 - SureWave CM-331 Series Touchless Switch -  1 to 28 Range -  1 Relay -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Stainless Steel Finish - SureWave CM-331 Series Touchless Switch -  1 to 28 Range -  1 Relay -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Stainless Steel Finish -  - CM-331/42SN - $241.73 ,Camden Controls,CM-331/42SN,241.73,138.0,230.0,SureWave CM-331 Series Touchless Switch -  1 to 28 Range -  1 Relay -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Stainless Steel Finish,,Seclock,SureWave CM-331 Series Touchless Switch -  1 to 28 Range -  1 Relay -  Narrow Stainless Steel Hand Icon/'Wave to Open' Text/Wheelchair Symbol Faceplate -  Stainless Steel Finish,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1025,,,,Security Lock Price List
CAM1030 - BATTERY PWD -  (1) RELAY HANDS-FREE SWITCH - BATTERY PWD -  (1) RELAY HANDS-FREE SWITCH -  - CM-333/42S - $231.22 ,Camden Controls,CM-333/42S,231.22,121.0,220.0,BATTERY PWD -  (1) RELAY HANDS-FREE SWITCH,,Banner Solutions (Formerly Akron),BATTERY PWD -  (1) RELAY HANDS-FREE SWITCH,MSRP Adjust,0.051,,"Sep 19, 2023",CAM1030,,,,Banner Price List
CAM1031 - Hybrid Battery Powered Touchless Switch -  1 Wired Relay -  CM-TX99 Wireless Transmitter -  Wave to Open & Wheelchair Symbol -  Double Gang Faceplate - Hybrid Battery Powered Touchless Switch -  1 Wired Relay -  CM-TX99 Wireless Transmitter -  Wave to Open & Wheelchair Symbol -  Double Gang Faceplate -  - CM-333/42SW - $231.22 ,Camden Controls,CM-333/42SW,231.22,121.0,220.0,Hybrid Battery Powered Touchless Switch -  1 Wired Relay -  CM-TX99 Wireless Transmitter -  Wave to Open & Wheelchair Symbol -  Double Gang Faceplate,,Banner Solutions (Formerly Akron),Hybrid Battery Powered Touchless Switch -  1 Wired Relay -  CM-TX99 Wireless Transmitter -  Wave to Open & Wheelchair Symbol -  Double Gang Faceplate,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1031,,,,
CAM1036 - Black -  Single Gang -  Wave Sensor - Black -  Single Gang -  Wave Sensor -  - CM-336 - $200.00 ,Camden Controls,CM-336,200.0,120.0,200.0,Black -  Single Gang -  Wave Sensor,,Seclock,Black -  Single Gang -  Wave Sensor,MSRP,,,,CAM1036,,,,
"CAM1063 - SureWave Wireless No-Touch Switch -  Double Gang Faceplate -  Stainless Steel -  'Wave To Open' Graphics - SureWave Wireless No-Touch Switch, Double Gang Faceplate, Stainless Steel, 'Wave To Open' Graphics -  - CM-336/41SW - $262.75 ",Camden Controls,CM-336/41SW,262.75,112.5,250.0,"SureWave Wireless No-Touch Switch, Double Gang Faceplate, Stainless Steel, 'Wave To Open' Graphics",,Camden,SureWave Wireless No-Touch Switch -  Double Gang Faceplate -  Stainless Steel -  'Wave To Open' Graphics,MSRP Adjust,0.051,,,CAM1063,,,,
"CAM1060 - SureWave Wireless No-Touch Switch -  6in Round -  Stainless Steel -  'Wave To Open' Graphic - SureWave Wireless No-Touch Switch, 6in Round, Stainless Steel, 'Wave To Open' Graphic -  - CM-336/42R - $262.75 ",Camden Controls,CM-336/42R,262.75,112.5,250.0,"SureWave Wireless No-Touch Switch, 6in Round, Stainless Steel, 'Wave To Open' Graphic",,Camden,SureWave Wireless No-Touch Switch -  6in Round -  Stainless Steel -  'Wave To Open' Graphic,MSRP Adjust,0.051,,,CAM1060,,,,
CAM1041 - Single Gang Surface Mount Box -  Flame/Impact Resistant -  Black Finish - Single Gang Surface Mount Box -  Flame/Impact Resistant -  Black Finish -  - CM-34BL - $30.00 ,Camden Controls,CM-34BL,30.0,18.0,30.0,Single Gang Surface Mount Box -  Flame/Impact Resistant -  Black Finish,,Seclock,Single Gang Surface Mount Box -  Flame/Impact Resistant -  Black Finish,MSRP,,,,CAM1041,,,,
"CAM1054 - 4.5 Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay - 4.5"" Round Switch w/Handicap & Push to Open Symbol, SPDT Relay -  - CM-40/4 - $85.13 ",Camden Controls,CM-40/4,85.13,36.45,81.0,"4.5"" Round Switch w/Handicap & Push to Open Symbol, SPDT Relay",,Camden,4.5 Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay,MSRP Adjust,0.051,,,CAM1054,,,,
"CAM1055 - 4.5 Round Switch w/Handicap & Push to Open -  Weather Tight - 4.5 Round Switch w/Handicap & Push to Open, Weather Tight -  - CM-40/4-WT - $126.12 ",Camden Controls,CM-40/4-WT,126.12,58.95,120.0,"4.5 Round Switch w/Handicap & Push to Open, Weather Tight",,Camden,4.5 Round Switch w/Handicap & Push to Open -  Weather Tight,MSRP Adjust,0.051,,,CAM1055,,,,
CAM1002 - 42 Tall Mounting Post -  Single Gang Prep -  36 Switch Height -  Dark Bronze Anodized Aluminum Finish - 42 Tall Mounting Post -  Single Gang Prep -  36 Switch Height -  Dark Bronze Anodized Aluminum Finish - CD124 - CM-42-BSU-BRZ - $440.00 ,Camden Controls,CM-42-BSU-BRZ,440.0,295.47,440.0,42 Tall Mounting Post -  Single Gang Prep -  36 Switch Height -  Dark Bronze Anodized Aluminum Finish,,Doyle Security Products,42 Tall Mounting Post -  Single Gang Prep -  36 Switch Height -  Dark Bronze Anodized Aluminum Finish,MSRP,0.051,358.02,,CAM1002,CD124,Seclock,,Security Lock Price List
CAM1040 - Tall Mounting Post - Clear Aluminum - Tall Mounting Post 42in - Single Gang Prep - 36in Switch Height - Camden -  Clear Aluminum -  - CM-42-BSU-CLR - $440.00 ,Camden Controls,CM-42-BSU-CLR,440.0,308.0,440.0,Tall Mounting Post 42in - Single Gang Prep - 36in Switch Height - Camden -  Clear Aluminum,,Seclock,Tall Mounting Post - Clear Aluminum,MSRP,,,,CAM1040,,,,Security Lock Price List
CAM1046 - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Dark Bronze - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Dark Bronze -  - CM-42-CSU-BRZ - $440.00 ,Camden Controls,CM-42-CSU-BRZ,440.0,308.0,440.0,42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Dark Bronze,,Camden,42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Dark Bronze,MSRP,,,,CAM1046,,,,
CAM1035 - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Clear Aluminum - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Clear Aluminum -  - CM-42-CSU-CLR - $440.00 ,Camden Controls,CM-42-CSU-CLR,440.0,295.47,440.0,42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Clear Aluminum,,Seclock,42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Clear Aluminum,MSRP,,,,CAM1035,,,,
CAM1015 - CAMDEN RED MUSHROOM BUTTON PUSH TO EXIT - CAMDEN RED MUSHROOM BUTTON PUSH TO EXIT - CM136 - CM-420RPTE - $115.61 ,Camden Controls,CM-420RPTE,115.61,69.63,110.0,CAMDEN RED MUSHROOM BUTTON PUSH TO EXIT,,Doyle Security Products,CAMDEN RED MUSHROOM BUTTON PUSH TO EXIT,MSRP Adjust,0.051,89.95,"Sep 19, 2023",CAM1015,CM136,Seclock,,Banner Price List
CAM1048 - Plastic Mounting Box - Plastic Mounting Box -  - CM-43CBL - $31.53 ,Camden Controls,CM-43CBL,31.53,14.4,30.0,Plastic Mounting Box,,Camden,Plastic Mounting Box,MSRP Adjust,0.051,,,CAM1048,,,,
"CAM1064 - Surface Mounting Box -  Flame/Impact Resistant -  4-1/2W X 4-1/2H X 2D - Surface Mounting Box, Flame/Impact Resistant, 4-1/2""W X 4-1/2""H X 2""D -  - CM-43CBLA - $44.14 ",Camden Controls,CM-43CBLA,44.14,18.9,42.0,"Surface Mounting Box, Flame/Impact Resistant, 4-1/2""W X 4-1/2""H X 2""D",,Camden,Surface Mounting Box -  Flame/Impact Resistant -  4-1/2W X 4-1/2H X 2D,MSRP Adjust,0.051,,,CAM1064,,,,
"CAM1056 - 4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Satin Stainless Steel - 4.5"" Square Push Plate Switch, Concealed Screws, SPDT Relay, Handicap & Push to Open Symbol, Satin Stainless Steel -  - CM-45/4 - $90.39 ",Camden Controls,CM-45/4,90.39,38.7,86.0,"4.5"" Square Push Plate Switch, Concealed Screws, SPDT Relay, Handicap & Push to Open Symbol, Satin Stainless Steel",,Camden,4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Satin Stainless Steel,MSRP Adjust,0.051,,,CAM1056,,,,
