Item,,M4,M4 BiLevel,M3,M3 BiLevel,X4,Electronic,Orig/Biax,Keymark
105100-P,,199.5,108.73,203.16,110.56,141.45,,214.14,154
105100-S,,183,99.73,186.66,101.56,124.95,,197.64,137.5
105104-P,,353.5,,360.24,,,,380.46,
105104-S,,337,,343.74,,,,363.96,
105200 C,,,,,,,1073.55,,
105200 S,,,,,,,917.78,,
105200 DA,,,,,,,465.51,,
105200-P,,270.5,147.43,275.58,149.97,191.7,,290.82,209.22
105200-S,,254,138.43,259.08,140.97,175.2,,274.32,192.72
105300-P,,277.5,151.25,282.72,153.85,198.7,,298.38,216.78
105300-S,,261,142.25,266.22,144.85,182.2,,281.88,200.28
105400 C,,,,,,,1169.47,,
105400 S,,,,,,,1001.61,,
105400-P,,284.5,155.06,289.86,157.74,205.7,,305.94,224.34
105400-S,,268,146.06,273.36,148.74,189.2,,289.44,207.84
105500 C,,,,,,,1171.7,,
105500 S,,,,,,,1030.69,,
105500-P,,301.5,164.32,307.2,167.18,222.7,,324.3,242.7
105500-S,,285,155.32,290.7,158.18,206.2,,307.8,226.2
105600-P,,317.5,173.5,323.5,176.5,,,341.5,
105600-S,,301,164.5,307,167.5,,,325,
105700 C,,,,,,,1172.13,,
105700-P,,335.5,182.85,341.88,186.04,256.7,,361.02,279.42
105700-S,,319,173.85,325.38,177.04,240.2,,344.52,262.92
105800-P,,437.5,,445.92,,,,471.18,
105800-S,,421,,429.42,,,,454.68,
105900-P,,382.5,,389.82,,382.5,,411.78,
105900-S,,366,,373.32,,366,,395.28,
105901-P,,490.5,,499.98,,,,528.42,
105901-S,,474,,483.48,,,,511.92,
105904-P,,324.5,,330.66,,,,349.14,
105904-S,,308,,314.16,,,,332.64,
1065140-P,,180.5,98.38,183.78,100.02,114.98,,193.62,125.95
1065140-S,,164,89.38,167.28,91.02,98.48,,177.12,109.45
10651S4-P,,206.55,124.43,209.83,126.07,141.03,,219.67,152
10651S4-S,,190.05,115.43,193.33,117.07,124.53,,203.17,135.5
1065244-P,,190.5,103.83,193.98,105.57,,,204.42,
1065244-S,,174,94.83,177.48,96.57,,,187.92,
10652S4-P,,202.37,115.7,205.85,117.44,132.43,,216.29,143.87
10652S4-S,,185.87,106.7,189.35,108.44,115.93,,199.79,127.37
10661S4-P,,207.7,121.03,211.18,122.77,142.18,,221.62,153.95
10661S4-S,,191.2,112.03,194.68,113.77,125.68,,205.12,137.45
10662S4-P,,204.38,97.23,208.76,99.42,131.96,,221.9,149.48
10662S4-S,,187.88,88.23,192.26,90.42,115.46,,205.4,132.98
1075127-P,,211.38,124.71,214.86,126.45,120.56,,225.3,132
1075127-S,,194.88,115.71,198.36,117.45,104.06,,208.8,115.5
110018,,41.6,,,,,,,
110092,,41.6,,,,,,,
110A00-P,,158.5,,161.34,,,,,
110A00-S,,142,,144.84,,,,,
110A01-P,,158.5,,161.34,,,,,
110A01-S,,142,,144.84,,,,,
110A02-P,,158.5,,161.34,,,,,
