Item,,M4,M4 BiLevel,M3,M3 BiLevel,X4,Electronic,Orig/Biax,Keymark
2001600-P,,127.5,69.5,129.72,70.61,63.64,,136.38,69.98
2001600-S,,111,60.49,113.22,61.6,47.14,,119.88,53.48
2001700-P,,174.5,95.11,177.66,96.69,,,187.14,
2001700-S,,158,86.11,161.16,87.69,,,170.64,
2001851-P,,174.5,95.11,177.66,96.69,,,187.14,
2001851-S,,158,86.11,161.16,87.69,,,170.64,
200500 S,,,,,,,905.04,,
200500-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
200500-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
200503 C,,,,,,,997.7,,
200503 G,,,,,,,397.29,,
200503 S,,,,,,,905.04,,
200503-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
200503-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
200700-P,,174.5,95.11,177.66,96.69,,,187.14,
200700-S,,158,86.11,161.16,87.69,,,170.64,
200701-P,,174.5,95.11,177.66,96.69,,,187.14,
200701-S,,158,86.11,161.16,87.69,,,170.64,
200801-P,,175.5,95.66,178.68,97.25,,,188.22,
200801-S,,159,86.66,162.18,88.25,,,171.72,
200802-P,,171.5,93.47,174.6,95.03,,,183.9,
200802-S,,155,84.47,158.1,86.03,,,167.4,
200807-P,,175.5,,178.68,,,,188.22,
200807-S,,159,,162.18,,,,171.72,
200808-P,,175.5,,178.68,,,,188.22,
200808-S,,159,,162.18,,,,171.72,
200901 C,,,,,,,998.7,,
200901 S,,,,,,,906.04,,
200901-P,,175.5,95.66,178.68,97.25,111.64,,188.22,121.82
200901-S,,159,86.66,162.18,88.25,95.14,,171.72,105.32
200902 C,,,,,,,998.7,,
200902 S,,,,,,,906.04,,
200902-P,,175.5,95.66,178.68,97.25,111.64,,188.22,121.82
200902-S,,159,86.66,162.18,88.25,95.14,,171.72,105.32
200903-P,,175.5,95.66,178.68,97.25,111.64,,188.22,121.82
200903-S,,159,86.66,162.18,88.25,95.14,,171.72,105.32
200904 C,,,,,,,998.7,,
200904-P,,175.5,95.66,178.68,97.25,111.64,,188.22,121.82
200904-S,,159,86.66,162.18,88.25,95.14,,171.72,105.32
200907-P,,175.5,95.66,178.68,97.25,111.64,,188.22,121.82
200907-S,,159,86.66,162.18,88.25,95.14,,171.72,105.32
201006 G,,,,,,,397.29,,
201006-P,,174.5,,177.66,,,,,
201006-S,,158,,161.16,,,,,
20110039-P,,174.5,95.11,177.66,96.69,,,187.14,
20110039-S,,158,86.11,161.16,87.69,,,170.64,
20112B1 G,,,,,,,397.29,,
2020000 C,,,,,,,997.7,,
2020000 G,,,,,,,397.29,,
2020000 S,,,,,,,905.04,,
2020000 DA,,,,,,,459.45,,
2020000-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020000-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020049 C,,,,,,,997.7,,
2020049 G,,,,,,,397.29,,
2020049 S,,,,,,,905.04,,
2020049-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020049-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020051 G,,,,,,,397.29,,
2020051-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020051-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020052 C,,,,,,,997.7,,
2020052 S,,,,,,,905.04,,
2020052-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020052-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020053 S,,,,,,,905.04,,
2020053-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020053-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020054-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020054-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020058-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020058-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020063-P,,174.5,95.11,177.66,96.69,110.64,,,
2020063-S,,158,86.11,161.16,87.69,94.14,,,
2020068-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020068-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020070 C,,,,,,,997.7,,
2020070-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020070-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020071-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020071-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020072-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020072-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020073 C,,,,,,,997.7,,
2020073 G,,,,,,,397.29,,
2020073 S,,,,,,,905.04,,
2020073-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020073-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020074 C,,,,,,,999.99,,
2020074 S,,,,,,,907.33,,
2020074-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020074-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020078 C,,,,,,,999.99,,
2020078 S,,,,,,,907.33,,
2020078-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020078-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020097 G,,,,,,,399.58,,
2020097 S,,,,,,,907.33,,
2020097-P,,176.79,97.4,179.95,98.98,112.93,,189.43,123.03
2020097-S,,160.29,88.4,163.45,89.98,96.43,,172.93,106.53
20200A1 C,,,,,,,999.99,,
20200A1 G,,,,,,,399.58,,
20200A1 S,,,,,,,907.33,,
20200A1-P,,176.79,97.4,179.95,98.98,112.93,,189.43,123.03
20200A1-S,,160.29,88.4,163.45,89.98,96.43,,172.93,106.53
20200F1 G,,,,,,,399.58,,
20200F1 S,,,,,,,907.33,,
20200F1-P,,176.79,97.4,179.95,98.98,112.93,,189.43,123.03
20200F1-S,,160.29,88.4,163.45,89.98,96.43,,172.93,106.53
20200H1-P,,185.58,106.19,188.74,107.77,121.72,,198.22,131.82
20200H1-S,,169.08,97.19,172.24,98.77,105.22,,181.72,115.32
20200L1 C,,,,,,,999.99,,
20200L1 G,,,,,,,399.58,,
20200L1 S,,,,,,,907.33,,
20200L1-P,,176.79,97.4,179.95,98.98,112.93,,189.43,123.03
20200L1-S,,160.29,88.4,163.45,89.98,96.43,,172.93,106.53
20200S1 C,,,,,,,999.99,,
20200S1 G,,,,,,,399.58,,
20200S1 S,,,,,,,907.33,,
20200S1 DA,,,,,,,461.74,,
20200S1-P,,176.79,97.4,179.95,98.98,112.93,,189.43,123.03
20200S1-S,,160.29,88.4,163.45,89.98,96.43,,172.93,106.53
20200V0 C,,,,,,,997.7,,
20200V0 G,,,,,,,397.29,,
20200V0 S,,,,,,,905.04,,
20200V0-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
20200V0-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
20200V1 C,,,,,,,997.7,,
20200V1 G,,,,,,,397.29,,
20200V1 S,,,,,,,905.04,,
20200V1-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
20200V1-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
20200V2 C,,,,,,,997.7,,
20200V2 G,,,,,,,397.29,,
20200V2 S,,,,,,,905.04,,
20200V2-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
20200V2-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
20200V3 G,,,,,,,397.29,,
20200V3 S,,,,,,,905.04,,
20200V3-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
20200V3-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
20200V9 C,,,,,,,997.7,,
20200V9 G,,,,,,,397.29,,
20200V9 S,,,,,,,905.04,,
20200V9-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
20200V9-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020149-P,,174.5,95.11,177.66,96.69,,,187.14,
2020149-S,,158,86.11,161.16,87.69,,,170.64,
2020169-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020169-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020170-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020170-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020173 M,,,,,,,905.04,,
2020173-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020173-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020249 C,,,,,,,997.7,,
2020249-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020249-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
20202V9 C,,,,,,,997.7,,
20202V9-P,,174.5,95.11,177.66,96.69,110.64,,,
20202V9-S,,158,86.11,161.16,87.69,94.14,,,
2020349-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020349-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020575-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020575-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2020777-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2020777-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2021173 C,,,,,,,997.7,,
20211730 S,,,,,,,905.04,,
20211730-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
20211730-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
203000-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
203000-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
205003-P,,175.5,95.66,178.68,97.25,111.64,,188.22,121.82
205003-S,,159,86.66,162.18,88.25,95.14,,171.72,105.32
205004-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
205004-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
205005 C,,,,,,,997.7,,
205005-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
205005-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
205006-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
205006-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
205008-P,,174.5,,177.66,,110.64,,187.14,120.74
205008-S,,158,,161.16,,94.14,,170.64,104.24
2051027-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2051027-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2051100-P,,174.5,95.11,177.66,96.69,,,187.14,
2051100-S,,158,86.11,161.16,87.69,,,170.64,
2051200-P,,174.5,95.11,177.66,96.69,,,187.14,
2051200-S,,158,86.11,161.16,87.69,,,170.64,
2051500-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2051500-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2052000-P,,174.5,,177.66,,,,187.14,
2052000-S,,158,,161.16,,,,170.64,
206005-P,,175.5,95.66,178.68,97.25,,,188.22,
206005-S,,159,86.66,162.18,88.25,,,171.72,
206100-P,,174.5,95.11,177.66,96.69,,,187.14,
206100-S,,158,86.11,161.16,87.69,,,170.64,
207001-P,,175.5,95.66,178.68,97.25,,,188.22,
207001-S,,159,86.66,162.18,88.25,,,171.72,
208005-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
208005-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
208006 S,,,,,,,905.04,,
208006-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
208006-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
208007-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
208007-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
208008-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
208008-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2080147 S,,,,,,,906.04,,
2080147-P,,175.5,95.66,178.68,97.25,111.64,,188.22,121.82
2080147-S,,159,86.66,162.18,88.25,95.14,,171.72,105.32
2080148 S,,,,,,,906.04,,
2080148-P,,175.5,95.66,178.68,97.25,,,188.22,
2080148-S,,159,86.66,162.18,88.25,,,171.72,
2080700-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2080700-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
210503-P,,,,,,110.5,,,118.02
210503-S,,,,,,94,,,101.52
23010168-P,,,,,,,,127.29,
23010168-S,,,,,,,,110.79,
EA-100278,,,,,,,740,,
EA-100279,,,,,,,2082,,
EA-100280,,,,,,,1158,,
EA-100281,,,,,,,1229,,
EA-100282,,,,,,,2192,,
EA-100283,,,,,,,1217,,
2301016-S,,139,,141.78,,,,150.12,
2303016A-S,,177,,180.54,,,,191.16,
230301S G,,,,,,,333,,
2304005,,217.5,,221.52,,,,233.58,
2304005-S,,201,,205.02,,,,217.08,
2304006,,217.5,,221.52,,,,233.58,
2304006-S,,201,,205.02,,,,217.08,
2304015,,163.75,,167.77,,,,179.59,
2304015-S,,147.25,,151.27,,,,163.09,
2304016,,163.75,,167.77,,,,179.59,
2304016-S,,147.25,,151.27,,,,163.09,
2304025,,223.31,,227.33,,,,239.33,
2304025-S,,190.31,,194.33,,,,206.33,
2304026,,223.31,,227.33,,,,239.33,
2304026-S,,190.31,,194.33,,,,206.33,
2305016,,161.5,,164.4,,,,173.1,
2306016,,161.5,,164.4,,,,173.1,
2309016,,237.5,,241.92,,,,255.18,
2305016-S,,145,,147.9,,,,156.6,
230501S G,113,,,,,,359,,
2306016-S,,145,,147.9,,,,156.6,
230601S G,,,,,,,359,,
23070165,,180.5,,183.78,,,,193.62,
23070165-S,,164,,167.28,,,,177.12,
23080166,,184.5,,187.86,,,,197.94,
23080166-S,,168,,171.36,,,,181.44,
230801S,,,,,,,359,,
2309016-S,,221,,225.42,,,,238.68,
2310016,,237.5,,241.92,,,,255.18,
2310016-S,,221,,225.42,,,,238.68,
23130 CUT,,219,,223.38,,,,236.52,
2313005 X00,,193.5,,197.04,,,,207.66,
2313005 X00-S,,177,,180.54,,,,191.16,
2313006 X00,,203.55,,207.09,,,,217.76,
2313006 X00-S,,187.05,,190.59,,,,201.26,
2313015 800,,166.32,,169.86,,,,180.21,
2313015 800-S,,149.82,,153.36,,,,163.71,
2313015 801,,170.57,,174.11,,,,184.46,
2313015 801-S,,154.07,,157.61,,,,167.96,
2313016 800,,168.33,,171.87,,,,182.37,
2313016 800-S,,151.83,,155.37,,,,165.87,
2313016 801,,172.58,,176.12,,,,186.62,
2313016 801-S,,156.08,,159.62,,,,170.12,
2313025 X00,,197.87,,201.41,,,,211.98,
2313025 X00-S,,164.87,,168.41,,,,178.98,
2313025 X01,,202.12,,205.66,,,,216.23,
2313025 X01-S,,169.12,,172.66,,,,183.23,
2313025 X02,,206.37,,209.91,,,,220.48,
2313025 X02-S,,173.37,,176.91,,,,187.48,
2313025 X11,,206.37,,209.91,,,,220.48,
2313025 X11-S,,173.37,,176.91,,,,187.48,
2313025 X12,,210.62,,214.16,,,,224.73,
2313025 X12-S,,177.62,,181.16,,,,191.73,
2313026 X00,,211.34,,214.88,,,,225.5,
2313026 X00-S,,178.34,,181.88,,,,192.5,
2313026 X01,,215.59,,219.13,,,,229.75,
2313026 X01-S,,182.59,,186.13,,,,196.75,
2313026 X02,,219.84,,223.38,,,,234,
2313026 X02-S,,186.84,,190.38,,,,201,
2313026 X12,,224.09,,227.63,,,,238.25,
2313026 X12-S,,191.09,,194.63,,,,205.25,
2313035 X00,,193.5,,197.04,,,,207.66,
2313035 X00-S,,177,,180.54,,,,191.16,
2313036 X00,,203.55,,207.09,,,,217.76,
2313036 X00-S,,187.05,,190.59,,,,201.26,
2313045 X00,,193.5,,197.04,,,,207.66,
2313045 X00-S,,177,,180.54,,,,191.16,
2313046 X00,,203.55,,207.09,,,,217.76,
2313046 X00-S,,187.05,,190.59,,,,201.26,
2313055 X00,,193.5,,197.04,,,,207.66,
2313055 X00-S,,177,,180.54,,,,191.16,
2313056 X00,,203.55,,207.09,,,,217.76,
2313056 X00-S,,187.05,,190.59,,,,201.26,
2313065 X00,,193.5,,197.04,,,,207.66,
2313065 X00-S,,177,,180.54,,,,191.16,
2313066 X00,,203.55,,207.09,,,,217.76,
2313066 X00-S,,187.05,,190.59,,,,201.26,
2314003-P,,114.2,,116.15,,,,122.02,
2314003-S,,97.7,,99.65,,,,105.52,
2315005-P,,129.5,,131.76,,,,138.54,
2315005-S,,113,,115.26,,,,122.04,
2316004-P,,129.5,,131.76,,,,138.54,
2316004-S,,113,,115.26,,,,122.04,
2320016-P,,155.5,,158.28,,,,166.62,
2320016-S,,139,,141.78,,,,150.12,
2322015 300,,68,,69.03,,,,72.12,
2322015 301,,72.25,,73.28,,,,76.37,
2322016 300,,74.38,,75.41,,,,78.54,
2322016 300 S,,,,,,,753.01,,
2322016 301,,78.63,,79.66,,,,82.79,
2322016 301 S,,,,,,,757.26,,
2322017 300 N,,,,,,40.88,,,
2322017 301 N,,,,,,45.13,,,
232201S 300 G,,,,,,,312.02,,
232201S 301 G,,,,,,,316.27,,
232201S 302 G,,,,,,,320.52,,
232202S 300 G,,,,,,,312.02,,
232202S 301 G,,,,,,,316.27,,
232202S 302 G,,,,,,,320.52,,
23220X5 300,,68.37,,,,,,,
23220X5 302,,76.87,,,,,,,
23220X6 300,,73.82,,,,,,,
23220XS 300,,69.24,,,,,,,
232212S X 300 G,,,,,,,313.02,,
232212S X 301 G,,,,,,,317.27,,
232212S X 302 G,,,,,,,321.52,,
2323005 X00,,193.5,,197.04,,,,207.66,
2323006 X00,,203.55,,207.09,,,,217.76,
2323016 800 S,29,,,,,,844.25,,
2323016 801 S,29,,,,,,848.5,,
232301S 800 G,,,,,,,361.53,,
232301S 801 G,,,,,,,365.78,,
232301ST 800 G,,,,,,,361.53,,
2323025 X00,,211.34,,214.88,,,,225.5,
2323026 X00,,225.06,,228.6,,,,239.26,
23230E5 X00 G,,,,,,,477.08,,
23230E5 X11 G,,,,,,,485.58,,
23230E6 X00 S,,,,,,,899.59,,
23230X6 X00 S,,,,,,,844.25,,
23230X7 500,,,,,,193.5,,,
23230X7 511,,,,,,202,,,
23230XS X00 G,,,,,,,403.6,,
23230XS X11 G,,,,,,,412.1,,
2324D21,,127,,,,,,,
2324D25,,127,,,,,,,
2324H01,,82.9,,,,,,,
2324H05,,82.9,,,,,,,
2324S12X,,120,,,,,,,
2324S15X,,120,,,,,,,
2324S52X,,120,,,,,,,
2325005 C,,,,,,,1189,,
2325025 C,,,,,,,1700,,
2326D21,,127,,,,,,,
2326H01,,82.9,,,,,,,
2326S12X,,120,,,,,,,
310100 G,,,,,,,400.05,,
310100 S,,,,,,,895.27,,
310100A G,,,,,,,400.05,,
310100A S,,,,,,,895.27,,
310100A-P,,190.5,103.45,193.98,105.19,125.99,,204.42,136.28
310100A-S,,174,94.45,177.48,96.19,109.49,,187.92,119.78
310100CC RY R1,,,,,,,,204.42,
310100-P,,190.5,103.45,193.98,105.19,125.99,,204.42,136.28
310100-S,,174,94.45,177.48,96.19,109.49,,187.92,119.78
310101A-P,,309.5,222.45,315.36,225.38,,,332.94,
310101A-S,,293,213.45,298.86,216.38,,,316.44,
310101-P,,309.5,222.45,315.36,225.38,,,332.94,
310101-S,,293,213.45,298.86,216.38,,,316.44,
310102H-P,,319.5,232.45,325.56,235.48,,,343.74,
310102H-S,,303,223.45,309.06,226.48,,,327.24,
310102V-P,,319.5,232.45,325.56,235.48,,,343.74,
310102V-S,,303,223.45,309.06,226.48,,,327.24,
310104H-P,,319.5,,325.56,,,,343.74,
310104H-S,,303,,309.06,,,,327.24,
310104V-P,,319.5,,325.56,,,,343.74,
310104V-S,,303,,309.06,,,,327.24,
310153H,,130,,,,,,,
310153V,,130,,,,,,,
310175,,121,,,,,,,
310175A,,121,,,,,,,
310375H,,130,,,,,,,
310375S,,130,,,,,,,
310375V,,130,,,,,,,
315375,,365,,,,,,,
320100-P,,308.5,219.24,314.34,222.16,,,331.86,
320100-S,,292,210.24,297.84,213.16,,,315.36,
320101-P,,189.5,103.28,192.96,105.02,,,203.34,
320101-S,,173,94.28,176.46,96.02,,,186.84,
320101H-P,,189.5,,192.96,,,,203.34,
320101H-S,,173,,176.46,,,,186.84,
320175,,121,,,,,,,
320200-P,,309.5,219.96,315.36,222.89,,,332.94,
320200-S,,293,210.96,298.86,213.89,,,316.44,
320200B-P,,453.41,,459.27,,,,476.85,
320200B-S,,436.91,,442.77,,,,460.35,
320201 S,,,,,,,895.27,,
320201CC RY R1,,,,,,,,204.42,
320201H-P,,190.5,103.83,193.98,105.57,,,204.42,
320201H-S,,174,94.83,177.48,96.57,,,187.92,
320201-P,,190.5,103.83,193.98,105.57,132.93,,204.42,
320201-S,,174,94.83,177.48,96.57,116.43,,187.92,
320202-P,,167.5,,170.52,,,,179.58,
320202-S,,151,,154.02,,,,163.08,
320275,,121,,,,,,,
320300H-P,,299.5,212.76,305.16,215.59,,,322.14,
320300H-S,,283,203.76,288.66,206.59,,,305.64,
320300V-P,,299.5,212.76,305.16,215.59,,,322.14,
320300V-S,,283,203.76,288.66,206.59,,,305.64,
320375H,,115,,,,,,,
320375V,,115,,,,,,,
320400H-P,,319.5,227.16,325.56,230.19,,,343.74,
320400H-S,,303,218.16,309.06,221.19,,,327.24,
320400V-P,,319.5,227.16,325.56,230.19,,,343.74,
320400V-S,,303,218.16,309.06,221.19,,,327.24,
320405H-P,,339.5,,345.96,,,,365.34,
320405H-S,,323,,329.46,,,,348.84,
320475H,,130,,,,,,,
320475V,,130,,,,,,,
320477H,,130,,,,,,,
320600-P,,288.5,,293.94,,,,310.26,
320600-S,,272,,277.44,,,,293.76,
320675,,113,,,,,,,
320700-P,,320.5,,326.58,,,,344.82,
320700-S,,304,,310.08,,,,328.32,
320775,,132,,,,,,,
321200-P,,312.5,,318.42,,,,336.18,
321200-S,,296,,301.92,,,,319.68,
321201-P,,193.5,,197.04,,,,207.66,
321201-S,,177,,180.54,,,,191.16,
321350-P,,356.5,,363.3,,,,383.7,
321350-S,,340,,346.8,,,,367.2,
321375,,167,,,,,,,
322201 C,,,,,,,982.31,,
322201 G,,,,,,,395.73,,
322201 M,,,,,,,903.27,,
322201-P,,198.5,,202.14,,129.81,,213.06,141.94
322201-S,,182,,185.64,,113.31,,196.56,125.44
322301 G,,,,,,,402.52,,
322301-P,85,190.5,,193.98,,132.93,,204.42,144.8
322301-S,85,174,,177.48,,116.43,,187.92,128.3
322401 G,,,,,,,402.52,,
322401-P,85,190.5,,193.98,,132.93,,204.42,144.8
322401-S,85,174,,177.48,,116.43,,187.92,128.3
322801-P,,,,,,143.93,,,156.68
322801-S,,,,,,127.43,,,140.18
324201-P,,190.5,103.83,193.98,105.57,,,204.42,
324201-S,,174,94.83,177.48,96.57,,,187.92,
325200-P,,513.5,,523.44,,,,553.26,
325200-S,,497,,506.94,,,,536.76,
325275,,327,,,,,,,
325375,,379,,,,,,,
325400-P,,533.5,,543.84,,,,574.86,
325400-S,,517,,527.34,,,,558.36,
325475,,345,,,,,,,
325500-P,,548.5,,559.14,,,,591.06,
325500-S,,532,,542.64,,,,574.56,
325575,,360,,,,,,,
325600-P,,588.5,,599.94,,,,634.26,
325600-S,,572,,583.44,,,,617.76,
325675,,400,,,,,,,
325700-P,,613.5,,625.44,,,,661.26,
325700-S,,597,,608.94,,,,644.76,
325775,,427,,,,,,,
3307311,,81,,,,,,,
3307321,,81,,,,,,,
3307331,166,81,,,,,,,
3307340,167,101,,,,,,,
3307350,,81,,,,,,,
33076011,,,,,,24.49,,,
33076021,,,,,,24.49,,,
33076025,,,,,,49.3,,,
33076028,,,,,,72.88,,,
3307603H,,,,,,24.48,,,
33076048,,,,,,72.88,,,
3307604H,,,,,,24.48,,,
33076051,,,,,,24.49,,,
33076061,,,,,,24.49,,,
330763G1,,,,,,64.34,,,
33600006 RY CC K,,,,,,93.3,,,99.44
33600006-P,,,,,,93.3,,,99.44
33600006-S,,,,,,76.8,,,82.94
33600007 K-P,,,,,,93.3,,,99.44
33600007 K-S,,,,,,76.8,,,82.94
3360000R-P,,,,,,93.3,,,
3360000R-S,,,,,,76.8,,,
33602012-P,,,,,,143.5,,,153.66
33602012-S,,,,,,127,,,137.16
33602013 K-P,,,,,,143.5,,,153.66
33602013 K-S,,,,,,127,,,137.16
33602032-P,,,,,,147.71,,,157.87
33602032-S,,,,,,131.21,,,141.37
33602033 K-P,,,,,,147.71,,,157.87
33602033 K-S,,,,,,131.21,,,141.37
33602042-P,,,,,,147.71,,,157.87
33602042-S,,,,,,131.21,,,141.37
33602043 K-P,,,,,,147.71,,,157.87
33602043 K-S,,,,,,131.21,,,141.37
33602052-P,,,,,,143.5,,,153.66
33602052-S,,,,,,127,,,137.16
33602053 K-P,,,,,,143.5,,,153.66
33602053 K-S,,,,,,127,,,137.16
33602062-P,,,,,,143.5,,,153.66
33602062-S,,,,,,127,,,137.16
33602063 K-P,,,,,,143.5,,,153.66
33602063 K-S,,,,,,127,,,137.16
336B010-P,,,,,,67.7,,,
336B010-S,,,,,,22.7,,,
336B01W-P,,,,,,67.7,,,
336B01W-S,,,,,,22.7,,,
336B070-P,,,,,,67.7,,,
336B070-S,,,,,,22.7,,,
33700006-P,,,,,,93.3,,,99.44
33700006-S,,,,,,76.8,,,82.94
33700007 K-P,,,,,,93.3,,,99.44
33700007 K-S,,,,,,76.8,,,82.94
3370000R-P,,,,,,93.3,,,
3370000R-S,,,,,,76.8,,,
3370000S-P,,,,,,100.46,,,106.6
3370000S-S,,,,,,83.96,,,90.1
33702022-P,,,,,,143.5,,,153.66
33702022-S,,,,,,127,,,137.16
33702023 K-P,,,,,,143.5,,,153.66
33702023 K-S,,,,,,127,,,137.16
33702042-P,,,,,,147.71,,,157.87
33702042-S,,,,,,131.21,,,141.37
33702043 K-P,,,,,,147.71,,,157.87
33702043 K-S,,,,,,131.21,,,141.37
337020B2-P,,,,,,147.71,,,157.87
337020B2-S,,,,,,131.21,,,141.37
337020C2-P,,,,,,143.5,,,153.66
337020C2-S,,,,,,127,,,137.16
337020E2-P,,,,,,143.5,,,153.66
337020E2-S,,,,,,127,,,137.16
337B010-P,,,,,,67.7,,,
337B010-S,,,,,,22.7,,,
337B01W-P,,,,,,67.7,,,
337B01W-S,,,,,,22.7,,,
337B070-P,,,,,,67.7,,,
337B070-S,,,,,,22.7,,,
337B07W-P,,,,,,67.7,,,
337B07W-S,,,,,,22.7,,,
337B070S-P,,,,,,67.7,,,
337B070S-S,,,,,,22.7,,,
337B07WS-P,,,,,,67.7,,,
337B07WS-S,,,,,,22.7,,,
490078-P,,210.5,,214.38,,,,226.02,
490078-S,,194,,197.88,,,,209.52,
490079-P,,210.5,,214.38,,,,226.02,
490079-S,,194,,197.88,,,,209.52,
490214-P,,192.5,104.92,196.02,106.68,,,206.58,
490214-S,,176,95.92,179.52,97.68,,,190.08,
490258-P,,218.5,,222.54,,,,234.66,
490258-S,,202,,206.04,,,,218.16,
490358 C,,,,,,,1140,,
490359 C,,,,,,,1114.74,,
490359 G,,,,,,,489,,
490361 C,,,,,,,1097.7,,
490366 C,,,,,,,1114.74,,
490366 G,,,,,,,489,,
490368 C,,,,,,,1140,,
490375-S,,183.5,,187.48,,,,,
490423 G,,,,,,,0,,
490426 G,,,,,,,0,,
490428 G,,,,,,,397.74,,
490429 G,,,,,,,397.74,,
490431 G,,,,,,,367,,
490432 G,,,,,,,934.5,,
490435,,,,,,,230,,
490436,,,,,,,232,,
490437 G,,,,,,,633.5,,
50-0551L,,217,,,,,,,
50-0552L,,224,,,,,,,
50-0553L,,217,,,,,,,
50-0554L,,224,,,,,,,
50-0555L,,234,,,,,,,
50-0571L,,217,,,,,,,
50-0572L,,224,,,,,,,
